id|review-parts|review-rating
3|Mammuts|no_rating_yet
3|:b|no_rating_yet
3|auch|no_rating_yet
3|fehlt|no_rating_yet
3|mir|no_rating_yet
3|ein|no_rating_yet
3|wenig|no_rating_yet
3|die|no_rating_yet
3|Abwechslung.|no_rating_yet
3|Ansonsten|no_rating_yet
3|top|no_rating_yet
3|game|no_rating_yet
3|:D|no_rating_yet
4|Big|no_rating_yet
4|Hunter|no_rating_yet
4|Mammoth|no_rating_yet
4|ist|no_rating_yet
4|das|no_rating_yet
4|beste|no_rating_yet
4|Spiel,|no_rating_yet
4|das|no_rating_yet
4|ich|no_rating_yet
4|jemals|no_rating_yet
4|spielte.|no_rating_yet
4|Es|no_rating_yet
4|wird|no_rating_yet
4|nie|no_rating_yet
4|langweilig|no_rating_yet
4|und|no_rating_yet
4|bietet|no_rating_yet
4|stets|no_rating_yet
4|neue|no_rating_yet
4|Herausforderungen.|no_rating_yet
4|Es|no_rating_yet
4|mach|no_rating_yet
4|Spaß|no_rating_yet
4|die|no_rating_yet
4|Speere|no_rating_yet
4|präzise|no_rating_yet
4|in|no_rating_yet
4|die|no_rating_yet
4|Mammuts|no_rating_yet
4|zu|no_rating_yet
4|werfen.|no_rating_yet
4|Ich|no_rating_yet
4|habe|no_rating_yet
4|es|no_rating_yet
4|bereits|no_rating_yet
4|durchgespielt|no_rating_yet
4|und|no_rating_yet
4|spiele|no_rating_yet
4|trotzdem|no_rating_yet
4|weiter,|no_rating_yet
4|da|no_rating_yet
4|die|no_rating_yet
4|schonende|no_rating_yet
4|Steigerung|no_rating_yet
4|des|no_rating_yet
4|Schwierigkeitsgrades|no_rating_yet
4|dieses|no_rating_yet
4|Kakarod|no_rating_yet
4|Spiels|no_rating_yet
4|trainiert.|no_rating_yet
4|Schon|no_rating_yet
4|bald|no_rating_yet
4|hatte|no_rating_yet
4|ich|no_rating_yet
4|den|no_rating_yet
4|Bogen|no_rating_yet
4|raus|no_rating_yet
4|und|no_rating_yet
4|immer|no_rating_yet
4|größere|no_rating_yet
4|Mammuts|no_rating_yet
4|waren|no_rating_yet
4|kein|no_rating_yet
4|Problem|no_rating_yet
